start in seconds	annotations
0.5	0.0
1	0.0
1.5	0.00508
2.5	0.0
5	0.0
5.5	0.0
6	0.0
6.5	0.0
7	0.0
7.5	0.0
8	0.74303
8.5	0.99962
9	0.99829
9.5	0.83144
10	0.99989
10.5	0.98865
11	0.99863
11.5	0.99999
12	0.86572
12.5	0.98199
13	0.99998
13.5	0.99944
14	0.47323
14.5	0.99969
15	0.99999
15.5	0.99999
16	0.99981
16.5	0.99938
17	0.99917
17.5	0.99573
18	0.9959
18.5	0.99635
19	0.99907
19.5	0.98658
20	0.99938
20.5	0.99883
21	0.99515
21.5	0.99918
22	0.99707
22.5	0.99796
23	0.99867
23.5	0.99788
24	0.99945
24.5	0.99947
25	0.99879
25.5	0.99918
26	0.998
26.5	0.99887
27	0.9981
27.5	0.98723
28	0.9998
28.5	0.9996
29	0.99972
36	0.8912
36.5	0.99947
37	1.0
37.5	0.68662
38	0.99997
38.5	0.99681
39	0.99808
39.5	1.0
40	1.0
40.5	1.0
41	1.0
41.5	1.0
42	1.0
42.5	1.0
43	0.86691
44	0.01434
44.5	0.04077
45	0.02769
45.5	0.14197
46	0.03635
46.5	0.01167
47	0.02321
47.5	0.0489
48	0.02532
48.5	0.05511
49	0.0523
49.5	0.00544
50	0.18186
50.5	0.08915
51	0.20801
51.5	0.02251
52	0.15464
52.5	0.0821
53	0.20421
53.5	0.09472
54	0.18434
54.5	0.09575
55	0.24606
55.5	0.01353
56	0.07328
56.5	0.32366
57	0.01702
57.5	0.20498
58	0.04424
58.5	0.05834
59	0.01114
59.5	0.07515
60	0.21208
60.5	0.02059
61	0.09139
61.5	0.09783
62	0.07002
62.5	0.07295
63	0.14119
63.5	0.00891
64	0.04565
64.5	0.04211
65	0.00295
65.5	0.01049
66	0.50055
66.5	0.14752
67	0.19633
67.5	0.14126
68	0.16405
68.5	0.15637
69	0.01737
69.5	0.09023
70	0.1624
70.5	0.03523
71	0.18494
71.5	0.18442
72	0.1263
72.5	0.26459
73	0.01475
73.5	0.04253
74	0.0037
74.5	0.03874
75	0.0431
75.5	0.00453
76	0.00248
76.5	0.01165
80	0.4156
80.5	0.66817
81	0.93919
81.5	0.05793
82	0.41472
82.5	0.1564
83	0.02653
83.5	0.76233
84	0.37386
84.5	0.02555
85	0.01483
85.5	6e-05
86	0.00024
86.5	0.00287
87	0.00017
87.5	0.00081
88	0.0657
88.5	0.0003
89	0.0
89.5	0.0
90	0.0
