start in seconds	duration in seconds	annotations
0.2	29.28	"[""Shot Size::Medium Shot""]"
29.52	7.279999999999998	"[""Shot Size::Long Shot""]"
36.84	3.319999999999993	"[""Shot Size::Medium Shot""]"
40.2	3.759999999999998	"[""Shot Size::Full Shot""]"
44	33.2	"[""Shot Size::Medium Shot""]"
77.24	2.760000000000005	"[""Shot Size::Full Shot""]"
80.04	2.8799999999999955	"[""Shot Size::Full Shot""]"
82.96	2.3599999999999994	"[""Shot Size::Full Shot""]"
85.36	2.719999999999999	"[""Shot Size::Full Shot""]"
88.12	7.3999999999999915	"[""Shot Size::Full Shot""]"
